Name,Year,Price,MSRP,Mileage,Engine,Power,Seats,Depreciation,Car_Age,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
Maruti Dzire LDI,2018,5.9,7.91,28.4,1248.0,73.75,5.0,2.01,7,1,0,0,0,1
Maruti Dzire LDI,2017,6.0,7.91,28.4,1248.0,73.75,5.0,1.9100000000000001,8,1,0,0,0,1
Maruti Swift LDI,2015,5.15,7.01,28.4,1248.0,74.0,5.0,1.8599999999999994,10,1,0,0,0,1
Maruti Dzire AMT ZDI Plus,2018,8.55,10.7,28.4,1248.0,73.75,5.0,2.1499999999999986,7,1,0,0,1,0
Maruti Dzire AMT VDI,2018,8.37,9.62,28.4,1248.0,73.75,5.0,1.25,7,1,0,0,1,0
Maruti Dzire ZDI Plus,2017,8.2,10.48,28.4,1248.0,73.75,5.0,2.280000000000001,8,1,0,0,0,1
Maruti Swift LDI,2016,5.95,7.27,28.4,1248.0,74.0,5.0,1.3199999999999994,9,1,0,0,0,1
Maruti Dzire VDI,2015,5.25,8.36,28.4,1248.0,73.75,5.0,3.1099999999999994,10,1,0,0,0,1
Maruti Swift VDI,2016,5.22,7.88,28.4,1248.0,74.0,5.0,2.66,9,1,0,0,0,1
Maruti Swift VDI,2015,5.36,7.88,28.4,1248.0,74.0,5.0,2.5199999999999996,10,1,0,0,0,1
Maruti Swift VDI,2015,5.1,8.13,28.4,1248.0,74.0,5.0,3.030000000000001,10,1,0,0,0,1
Maruti Dzire AMT ZDI Plus,2017,8.9,10.97,28.4,1248.0,73.75,5.0,2.0700000000000003,8,1,0,0,1,0
Maruti Dzire VDI,2017,6.67,8.58,28.4,1248.0,73.75,5.0,1.9100000000000001,8,1,0,0,0,1
Maruti Dzire AMT ZDI Plus,2017,9.15,11.52,28.4,1248.0,73.75,5.0,2.369999999999999,8,1,0,0,1,0
Maruti Dzire AMT ZDI Plus,2017,9.0,11.26,28.4,1248.0,73.75,5.0,2.26,8,1,0,0,1,0
Maruti Swift LDI,2015,5.25,7.13,28.4,1248.0,74.0,5.0,1.88,10,1,0,0,0,1
Maruti Swift VDI,2017,6.24,7.92,28.4,1248.0,74.0,5.0,1.6799999999999997,8,1,0,0,0,1
Maruti Dzire VDI,2016,5.75,8.58,28.4,1248.0,73.75,5.0,2.83,9,1,0,0,0,1
Honda Amaze VX Diesel,2018,8.5,10.34,27.4,1498.0,98.6,5.0,1.8399999999999999,7,1,0,0,0,1
Honda Amaze S Diesel,2015,5.99,9.09,27.4,1498.0,98.6,5.0,3.0999999999999996,10,1,0,0,0,1
Maruti Baleno Alpha Diesel,2017,8.4,10.63,27.39,1248.0,74.0,5.0,2.2300000000000004,8,1,0,0,0,1
Maruti Baleno Alpha Diesel,2016,6.5,9.53,27.39,1248.0,74.0,5.0,3.0299999999999994,9,1,0,0,0,1
Maruti Baleno Alpha Diesel,2018,8.7,10.28,27.39,1248.0,74.0,5.0,1.58,7,1,0,0,0,1
Honda Jazz VX Diesel,2016,7.4,10.81,27.3,1498.0,98.6,5.0,3.41,9,1,0,0,0,1
Honda Jazz VX Diesel,2016,6.21,11.15,27.3,1498.0,98.6,5.0,4.94,9,1,0,0,0,1
Honda Jazz VX Diesel,2017,8.4,11.05,27.3,1498.0,98.6,5.0,2.6500000000000004,8,1,0,0,0,1
Volvo S60 D4 Momentum,2015,25.0,45.67,27.03,1969.0,190.0,5.0,20.67,10,1,0,0,1,0
Ford Aspire Titanium Diesel,2017,6.0,8.91,26.1,1498.0,99.0,5.0,2.91,8,1,0,0,0,1
Ford Aspire Titanium Diesel,2017,7.29,9.79,26.1,1498.0,99.0,5.0,2.499999999999999,8,1,0,0,0,1
Ford Aspire Ambiente Diesel,2018,5.65,7.56,26.1,1498.0,99.0,5.0,1.9099999999999993,7,1,0,0,0,1
Ford Aspire Titanium Plus Diesel,2015,8.41,9.4,26.1,1498.0,99.0,5.0,0.9900000000000002,10,1,0,0,0,1
Honda City i-DTEC ZX,2017,12.9,16.95,25.6,1498.0,98.6,5.0,4.049999999999999,8,1,0,0,0,1
Honda City i-DTEC SV,2015,5.49,12.23,25.6,1498.0,98.6,5.0,6.74,10,1,0,0,0,1
Honda City i-DTEC SV,2015,8.0,13.33,25.6,1498.0,98.6,5.0,5.33,10,1,0,0,0,1
Honda City i-DTEC ZX,2017,12.0,16.84,25.6,1498.0,98.6,5.0,4.84,8,1,0,0,0,1
Ford Figo Titanium Diesel,2015,2.5,7.65,25.5,1498.0,99.0,5.0,5.15,10,1,0,0,0,1
Maruti Ertiga ZDI,2016,8.5,12.74,25.47,1248.0,88.5,7.0,4.24,9,1,0,0,0,1
Maruti Ertiga VDI,2016,7.64,11.27,25.47,1248.0,88.5,7.0,3.63,9,1,0,0,0,1
Maruti Ertiga VDI,2018,8.49,10.83,25.47,1248.0,88.5,7.0,2.34,7,1,0,0,0,1
Maruti Ertiga ZDI Plus,2016,9.9,13.33,25.47,1248.0,88.5,7.0,3.4299999999999997,9,1,0,0,0,1
Maruti Ertiga VDI,2016,8.2,10.99,25.47,1248.0,88.5,7.0,2.790000000000001,9,1,0,0,0,1
Maruti Ertiga VDI,2017,7.65,11.16,25.47,1248.0,88.5,7.0,3.51,8,1,0,0,0,1
Maruti Ertiga VDI,2018,9.25,11.66,25.47,1248.0,88.5,7.0,2.41,7,1,0,0,0,1
Maruti Ertiga VDI,2016,7.0,11.27,25.47,1248.0,88.5,7.0,4.27,9,1,0,0,0,1
Maruti Ertiga VDI,2017,7.75,10.41,25.47,1248.0,88.5,7.0,2.66,8,1,0,0,0,1
Hyundai Xcent 1.2 CRDi S,2016,5.0,8.23,25.4,1186.0,73.97,5.0,3.2300000000000004,9,1,0,0,0,1
Hyundai Xcent 1.2 CRDi S,2017,4.2,8.23,25.4,1186.0,73.97,5.0,4.03,8,1,0,0,0,1
Hyundai Xcent 1.2 CRDi S,2018,5.9,8.56,25.4,1186.0,73.97,5.0,2.66,7,1,0,0,0,1
Hyundai Xcent 1.2 CRDi S,2016,3.5,8.84,25.4,1186.0,73.97,5.0,5.34,9,1,0,0,0,1
Renault KWID RXL,2016,2.55,3.96,25.17,799.0,53.3,5.0,1.4100000000000001,9,0,0,1,0,1
Renault KWID RXL,2018,3.4,4.45,25.17,799.0,53.3,5.0,1.0500000000000003,7,0,0,1,0,1
Renault KWID RXT Optional,2018,4.45,4.8,25.17,799.0,53.3,5.0,0.34999999999999964,7,0,0,1,0,1
Renault KWID RXT Optional,2018,4.29,4.78,25.17,799.0,53.3,5.0,0.4900000000000002,7,0,0,1,0,1
Renault KWID RXT Optional,2018,3.5,4.9,25.17,799.0,53.3,5.0,1.4000000000000004,7,0,0,1,0,1
Renault KWID RXL,2017,3.46,3.95,25.17,799.0,53.3,5.0,0.4900000000000002,8,0,0,1,0,1
Renault KWID RXT Optional,2016,2.99,4.78,25.17,799.0,53.3,5.0,1.79,9,0,0,1,0,1
Renault KWID RXT Optional,2019,5.09,4.78,25.17,799.0,53.3,5.0,-0.3099999999999996,6,0,0,1,0,1
Renault KWID RXT Optional,2017,3.7,4.78,25.17,799.0,53.3,5.0,1.08,8,0,0,1,0,1
Renault KWID RXL,2019,3.8,4.04,25.17,799.0,53.3,5.0,0.2400000000000002,6,0,0,1,0,1
Maruti S-Cross Alpha DDiS 200 SH,2016,6.99,12.53,25.1,1248.0,88.5,5.0,5.539999999999999,9,1,0,0,0,1
Maruti S-Cross Zeta DDiS 200 SH,2016,7.94,13.26,25.1,1248.0,88.5,5.0,5.319999999999999,9,1,0,0,0,1
Maruti S-Cross Delta DDiS 200 SH,2018,8.92,11.26,25.1,1248.0,88.5,5.0,2.34,7,1,0,0,0,1
Tata Tigor XE Diesel,2017,5.5,7.15,24.7,1047.0,69.0,5.0,1.6500000000000004,8,1,0,0,0,1
Maruti Vitara Brezza ZDi,2017,9.75,11.0,24.3,1248.0,88.5,5.0,1.25,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,11.5,12.88,24.3,1248.0,88.5,5.0,1.3800000000000008,7,1,0,0,1,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,11.31,12.56,24.3,1248.0,88.5,5.0,1.25,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus,2019,10.49,11.2,24.3,1248.0,88.5,5.0,0.7099999999999991,6,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,8.25,11.75,24.3,1248.0,88.5,5.0,3.5,9,1,0,0,0,1
Maruti Vitara Brezza ZDi,2016,8.9,10.65,24.3,1248.0,88.5,5.0,1.75,9,1,0,0,0,1
Maruti Vitara Brezza ZDi,2018,10.46,11.0,24.3,1248.0,88.5,5.0,0.5399999999999991,7,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus,2018,10.19,11.58,24.3,1248.0,88.5,5.0,1.3900000000000006,7,1,0,0,0,1
Maruti Vitara Brezza VDi,2016,7.43,9.93,24.3,1248.0,88.5,5.0,2.5,9,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus,2018,10.15,12.47,24.3,1248.0,88.5,5.0,2.3200000000000003,7,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.25,11.06,24.3,1248.0,88.5,5.0,1.8100000000000005,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2018,11.0,12.56,24.3,1248.0,88.5,5.0,1.5600000000000005,7,1,0,0,0,1
Maruti Vitara Brezza ZDi,2016,8.0,10.14,24.3,1248.0,88.5,5.0,2.1400000000000006,9,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,11.39,12.56,24.3,1248.0,88.5,5.0,1.17,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,8.85,11.96,24.3,1248.0,88.5,5.0,3.110000000000001,9,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,11.25,12.88,24.3,1248.0,88.5,5.0,1.6300000000000008,7,1,0,0,1,0
Maruti Vitara Brezza ZDi Plus,2017,9.49,12.0,24.3,1248.0,88.5,5.0,2.51,8,1,0,0,0,1
Maruti Vitara Brezza ZDi,2016,9.3,11.02,24.3,1248.0,88.5,5.0,1.7199999999999989,9,1,0,0,0,1
Maruti Vitara Brezza LDi,2018,8.39,8.63,24.3,1248.0,88.5,5.0,0.2400000000000002,7,1,0,0,0,1
Maruti Vitara Brezza VDi,2017,6.5,9.46,24.3,1248.0,88.5,5.0,2.960000000000001,8,1,0,0,0,1
Maruti Vitara Brezza ZDi,2017,9.05,9.89,24.3,1248.0,88.5,5.0,0.8399999999999999,8,1,0,0,0,1
Maruti Vitara Brezza ZDi,2017,9.88,11.0,24.3,1248.0,88.5,5.0,1.1199999999999992,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,9.0,11.98,24.3,1248.0,88.5,5.0,2.9800000000000004,9,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,8.9,11.96,24.3,1248.0,88.5,5.0,3.0600000000000005,9,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus,2018,8.63,11.12,24.3,1248.0,88.5,5.0,2.4899999999999984,7,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.44,11.75,24.3,1248.0,88.5,5.0,2.3100000000000005,8,1,0,0,0,1
Maruti Vitara Brezza ZDi,2018,8.75,10.13,24.3,1248.0,88.5,5.0,1.3800000000000008,7,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,10.34,12.56,24.3,1248.0,88.5,5.0,2.2200000000000006,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.38,11.75,24.3,1248.0,88.5,5.0,2.369999999999999,8,1,0,0,0,1
Maruti Vitara Brezza VDi,2016,7.5,9.96,24.3,1248.0,88.5,5.0,2.460000000000001,9,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus,2017,9.13,11.12,24.3,1248.0,88.5,5.0,1.9899999999999984,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus,2017,9.0,11.47,24.3,1248.0,88.5,5.0,2.4700000000000006,8,1,0,0,0,1
Maruti Vitara Brezza LDi,2016,7.15,9.12,24.3,1248.0,88.5,5.0,1.9699999999999989,9,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus,2017,8.0,10.91,24.3,1248.0,88.5,5.0,2.91,8,1,0,0,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,9.51,11.29,24.3,1248.0,88.5,5.0,1.7799999999999994,8,1,0,0,0,1
Maruti Vitara Brezza LDi,2017,8.61,9.12,24.3,1248.0,88.5,5.0,0.5099999999999998,8,1,0,0,0,1
Maruti Alto K10 VXI,2016,3.5,4.53,24.07,998.0,67.1,5.0,1.0300000000000002,9,0,0,1,0,1
Maruti Alto K10 VXI,2017,3.75,4.48,24.07,998.0,67.1,5.0,0.7300000000000004,8,0,0,1,0,1
Maruti Alto K10 VXI,2017,3.25,4.82,24.07,998.0,67.1,5.0,1.5700000000000003,8,0,0,1,0,1
Maruti Alto K10 VXI,2016,3.2,4.24,24.07,998.0,67.1,5.0,1.04,9,0,0,1,0,1
Maruti Alto K10 LXI Optional,2016,3.0,4.36,24.07,998.0,67.1,5.0,1.3600000000000003,9,0,0,1,0,1
Maruti Alto K10 VXI,2016,3.0,4.24,24.07,998.0,67.1,5.0,1.2400000000000002,9,0,0,1,0,1
Maruti Alto K10 LXI,2016,3.0,3.91,24.07,998.0,67.1,5.0,0.9100000000000001,9,0,0,1,0,1
Maruti Alto K10 VXI,2015,3.69,4.09,24.07,998.0,67.1,5.0,0.3999999999999999,10,0,0,1,0,1
Maruti Alto K10 VXI,2015,3.46,4.09,24.07,998.0,67.1,5.0,0.6299999999999999,10,0,0,1,0,1
Maruti Alto K10 VXI,2018,3.6,4.33,24.07,998.0,67.1,5.0,0.73,7,0,0,1,0,1
Maruti Alto K10 VXI,2018,3.63,4.09,24.07,998.0,67.1,5.0,0.45999999999999996,7,0,0,1,0,1
Maruti Alto K10 VXI,2016,3.15,4.82,24.07,998.0,67.1,5.0,1.6700000000000004,9,0,0,1,0,1
Hyundai Grand i10 1.2 CRDi Sportz,2018,6.28,8.18,24.0,1186.0,73.97,5.0,1.8999999999999995,7,1,0,0,0,1
Hyundai Grand i10 1.2 CRDi Magna,2017,4.9,7.46,24.0,1186.0,73.97,5.0,2.5599999999999996,8,1,0,0,0,1
Hyundai Grand i10 1.2 CRDi Sportz,2017,5.92,8.17,24.0,1186.0,73.97,5.0,2.25,8,1,0,0,0,1
Hyundai Grand i10 1.2 CRDi Sportz,2018,5.95,8.28,24.0,1186.0,73.97,5.0,2.329999999999999,7,1,0,0,0,1
Hyundai Grand i10 1.2 CRDi Sportz,2015,4.25,8.18,24.0,1186.0,73.97,5.0,3.9299999999999997,10,1,0,0,0,1
Hyundai Grand i10 1.2 CRDi Asta,2015,5.43,8.68,24.0,1186.0,73.97,5.0,3.25,10,1,0,0,0,1
Tata Tiago 1.2 Revotron XT,2016,3.6,5.61,23.84,1199.0,84.0,5.0,2.0100000000000002,9,0,0,1,0,1
Tata Tiago 1.2 Revotron XZ,2019,6.94,6.59,23.84,1199.0,84.0,5.0,-0.35000000000000053,6,0,0,1,0,1
Tata Tiago AMT 1.2 Revotron XZA,2019,6.97,7.17,23.84,1199.0,83.83,5.0,0.20000000000000018,6,0,0,1,1,0
Tata Tiago 1.2 Revotron XZ WO Alloy,2017,5.0,6.29,23.84,1199.0,84.0,5.0,1.29,8,0,0,1,0,1
Tata Tiago 1.2 Revotron XM Option,2016,3.98,5.45,23.84,1199.0,84.0,5.0,1.4700000000000002,9,0,0,1,0,1
Tata Tiago 1.2 Revotron XZ,2018,5.88,6.59,23.84,1199.0,84.0,5.0,0.71,7,0,0,1,0,1
Tata Tiago 1.2 Revotron XT Option,2019,5.85,6.21,23.84,1199.0,84.0,5.0,0.3600000000000003,6,0,0,1,0,1
Tata Tiago AMT 1.2 Revotron XZA,2018,5.0,6.94,23.84,1199.0,83.83,5.0,1.9400000000000004,7,0,0,1,1,0
Tata Tiago 1.2 Revotron XT,2017,5.11,5.56,23.84,1199.0,84.0,5.0,0.4499999999999993,8,0,0,1,0,1
Tata Tiago 1.2 Revotron XZ,2017,4.8,6.42,23.84,1199.0,84.0,5.0,1.62,8,0,0,1,0,1
Toyota Etios Cross 1.4L GD,2016,6.71,8.82,23.59,1364.0,67.06,5.0,2.1100000000000003,9,1,0,0,0,1
Toyota Etios 1.4 VXD,2018,7.9,10.63,23.59,1364.0,67.04,5.0,2.7300000000000004,7,1,0,0,0,1
Toyota Platinum Etios 1.4 GXD,2015,6.0,9.58,23.59,1364.0,67.05,5.0,3.58,10,1,0,0,0,1
Maruti Celerio ZXI AMT,2017,5.25,6.56,23.1,998.0,67.04,5.0,1.3099999999999996,8,0,0,1,1,0
Maruti Celerio VXI AMT,2016,3.8,5.77,23.1,998.0,67.04,5.0,1.9699999999999998,9,0,0,1,1,0
Maruti Celerio VXI AMT,2015,3.5,6.0,23.1,998.0,67.04,5.0,2.5,10,0,0,1,1,0
Maruti Celerio LXI MT,2018,3.75,4.87,23.1,998.0,67.04,5.0,1.12,7,0,0,1,0,1
Maruti Celerio ZXI MT,2015,4.3,6.05,23.1,998.0,67.04,5.0,1.75,10,0,0,1,0,1
Maruti Celerio ZXI Optional AMT,2018,5.63,5.95,23.1,998.0,67.04,5.0,0.3200000000000003,7,0,0,1,1,0
Maruti Celerio VXI AMT,2016,3.94,6.08,23.1,998.0,67.04,5.0,2.14,9,0,0,1,1,0
Maruti Celerio ZXI MT,2017,5.11,5.69,23.1,998.0,67.04,5.0,0.5800000000000001,8,0,0,1,0,1
Maruti Celerio VXI Optional AMT,2017,5.0,6.14,23.1,998.0,67.04,5.0,1.1399999999999997,8,0,0,1,1,0
Ford Ecosport Signature Edition Diesel,2018,10.9,12.12,23.0,1498.0,98.96,5.0,1.2199999999999989,7,1,0,0,0,1
Ford Ecosport Signature Edition Diesel,2019,11.65,12.12,23.0,1498.0,98.96,5.0,0.46999999999999886,6,1,0,0,0,1
Ford EcoSport 1.5 Diesel Titanium Plus,2016,7.7,13.23,23.0,1498.0,98.96,5.0,5.53,9,1,0,0,0,1
Ford EcoSport 1.5 Diesel Titanium,2017,8.99,11.89,23.0,1498.0,98.96,5.0,2.9000000000000004,8,1,0,0,0,1
Ford EcoSport 1.5 Diesel Titanium Plus,2017,8.09,12.67,23.0,1498.0,98.96,5.0,4.58,8,1,0,0,0,1
Ford EcoSport 1.5 Diesel Trend,2017,7.69,10.42,23.0,1498.0,98.96,5.0,2.7299999999999995,8,1,0,0,0,1
Ford EcoSport 1.5 Diesel Titanium,2018,9.25,11.2,23.0,1498.0,98.96,5.0,1.9499999999999993,7,1,0,0,0,1
Ford EcoSport 1.5 Diesel Titanium,2017,8.45,11.47,23.0,1498.0,98.96,5.0,3.0200000000000014,8,1,0,0,0,1
Ford EcoSport 1.5 Diesel Titanium,2017,8.99,11.89,23.0,1498.0,98.96,5.0,2.9000000000000004,8,1,0,0,0,1
Tata Bolt Quadrajet XE,2016,3.7,7.43,22.95,1248.0,74.0,5.0,3.7299999999999995,9,1,0,0,0,1
Tata Zest Quadrajet 1.3 75PS XE,2017,3.75,8.34,22.95,1248.0,74.0,5.0,4.59,8,1,0,0,0,1
Tata Zest Quadrajet 1.3 75PS XE,2017,3.75,7.94,22.95,1248.0,74.0,5.0,4.19,8,1,0,0,0,1
Tata Zest Quadrajet 1.3 75PS XE,2016,4.6,8.09,22.95,1248.0,74.0,5.0,3.49,9,1,0,0,0,1
Tata Zest Quadrajet 1.3 75PS XE,2018,5.25,8.34,22.95,1248.0,74.0,5.0,3.09,7,1,0,0,0,1
Tata Bolt Quadrajet XE,2017,5.25,7.43,22.95,1248.0,74.0,5.0,2.1799999999999997,8,1,0,0,0,1
Tata Bolt Quadrajet XM,2017,6.0,7.97,22.95,1248.0,74.0,5.0,1.9699999999999998,8,1,0,0,0,1
Tata Zest Quadrajet 1.3 75PS XM,2017,5.0,8.93,22.95,1248.0,74.0,5.0,3.9299999999999997,8,1,0,0,0,1
Datsun redi-GO T Option,2018,3.48,4.05,22.7,799.0,53.64,5.0,0.5699999999999998,7,0,0,1,0,1
